timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpGroundSpace,none,1,expStIn,0.0001198304730138383,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpGroundSpace,none,1,expStIn,0.00020543220306903803,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpGroundSpace,none,1,expStIn,0.0001613614985461398,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,1,expStIn,0.00016105291059868577,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,1,expStIn,0.00018536772050002594,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,1,expStIn,0.0001113896646776165,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,1,expStIn,0.0001787473847937717,
40th < 2040,EU < DE < de < 31DE,ocgt < ocgtH2Chp,none,none,expConv,14.012777917980387,
40th < 2040,EU < DE < de < 32DE,ocgt < ocgtH2Chp,none,none,expConv,12.526906769210797,
40th < 2040,EU < DE < de < 33DE,ocgt < ocgtH2Chp,none,none,expConv,20.144678067146753,
40th < 2040,EU < DE < de < 34DE,ocgt < ocgtH2Chp,none,none,expConv,12.324539528427792,
40th < 2040,EU < DE < de < 35DE,ocgt < ocgtH2Chp,none,none,expConv,13.433771521428781,
40th < 2040,EU < DE < de < 36DE,ocgt < ocgtH2Chp,none,none,expConv,0.43487077270929997,
40th < 2040,EU < DE < de < 37DE,ocgt < ocgtH2Chp,none,none,expConv,0.4407073496906244,
40th < 2040,EU < DE < de < 31DE,ocgt < ocgtH2Chp,none,none,capaConv,14.012777917980385,
40th < 2040,EU < DE < de < 32DE,ocgt < ocgtH2Chp,none,none,capaConv,12.526906769210797,
40th < 2040,EU < DE < de < 33DE,ocgt < ocgtH2Chp,none,none,capaConv,20.144678067146753,
40th < 2040,EU < DE < de < 34DE,ocgt < ocgtH2Chp,none,none,capaConv,12.324539528427792,
40th < 2040,EU < DE < de < 35DE,ocgt < ocgtH2Chp,none,none,capaConv,13.433771521428781,
40th < 2040,EU < DE < de < 36DE,ocgt < ocgtH2Chp,none,none,capaConv,0.43487077270929997,
40th < 2040,EU < DE < de < 37DE,ocgt < ocgtH2Chp,none,none,capaConv,0.4407073496906245,
40th < 2040,EU < DE < de < 31DE,powerToX < electrolysis < alkElectrolysis,none,none,expConv,12.26363947000223,
40th < 2040,EU < DE < de < 32DE,powerToX < electrolysis < alkElectrolysis,none,none,expConv,8.329923863415207,
40th < 2040,EU < DE < de < 33DE,powerToX < electrolysis < alkElectrolysis,none,none,expConv,17.475722373377568,
