timestep_3,region_1,technology_1,parameter,value
d254,AT,wind,avaConv,0.006260672514619882
d255,AT,wind,avaConv,0.012726681286549708
d256,AT,wind,avaConv,0.008969261695906432
d257,AT,wind,avaConv,0.0
d258,AT,wind,avaConv,0.0061712353801169585
d259,AT,wind,avaConv,0.011427266081871345
d260,AT,wind,avaConv,0.015127741228070176
d261,AT,wind,avaConv,0.0015560307017543859
d262,AT,wind,avaConv,0.02205233918128655
d263,AT,wind,avaConv,0.00831140350877193
d264,AT,wind,avaConv,0.0
d265,AT,wind,avaConv,0.0009604897660818715
d266,AT,wind,avaConv,0.04685201023391812
d267,AT,wind,avaConv,0.10545285087719299
d268,AT,wind,avaConv,0.023979678362573097
d269,AT,wind,avaConv,0.05193538011695906
d270,AT,wind,avaConv,0.049083735380116955
d271,AT,wind,avaConv,0.015558004385964911
d272,AT,wind,avaConv,0.03319345760233919
d273,AT,wind,avaConv,0.008275328947368422
d274,AT,wind,avaConv,0.0
d275,AT,wind,avaConv,0.0030545687134502925
d276,AT,wind,avaConv,0.006434502923976608
d277,AT,wind,avaConv,0.0
d278,AT,wind,avaConv,0.0
d279,AT,wind,avaConv,0.0
d280,AT,wind,avaConv,0.0
d281,AT,wind,avaConv,0.0
d282,AT,wind,avaConv,0.0003307017543859649
d283,AT,wind,avaConv,0.0012973684210526315
d284,AT,wind,avaConv,6.99561403508772e-5
d285,AT,wind,avaConv,0.02792839912280702
d286,AT,wind,avaConv,0.1323796783625731
d287,AT,wind,avaConv,0.00022258771929824562
d288,AT,wind,avaConv,0.0
d289,AT,wind,avaConv,0.0
d290,AT,wind,avaConv,0.0
d291,AT,wind,avaConv,0.0012719298245614033
d292,AT,wind,avaConv,0.0
d293,AT,wind,avaConv,0.0
d294,AT,wind,avaConv,0.0017043859649122808
d295,AT,wind,avaConv,0.0024357456140350875
d296,AT,wind,avaConv,0.0
d297,AT,wind,avaConv,0.0001462719298245614
d298,AT,wind,avaConv,0.0
d299,AT,wind,avaConv,0.0017171052631578948
d300,AT,wind,avaConv,0.002026498538011696
d301,AT,wind,avaConv,0.0
d302,AT,wind,avaConv,0.013422989766081871
d303,AT,wind,avaConv,0.010428983918128657
d304,AT,wind,avaConv,0.002256030701754386
d305,AT,wind,avaConv,0.0
d306,AT,wind,avaConv,0.0
d307,AT,wind,avaConv,0.0
d308,AT,wind,avaConv,0.0
d309,AT,wind,avaConv,0.010448976608187135
d310,AT,wind,avaConv,0.0009221491228070175
d311,AT,wind,avaConv,0.10155913742690058
d312,AT,wind,avaConv,0.011672149122807018
d313,AT,wind,avaConv,0.05393728070175438
d314,AT,wind,avaConv,0.01084824561403509
d315,AT,wind,avaConv,0.0
d316,AT,wind,avaConv,0.0
d317,AT,wind,avaConv,0.020433406432748536
d318,AT,wind,avaConv,0.0012083333333333334
d319,AT,wind,avaConv,0.0
d320,AT,wind,avaConv,0.0
d321,AT,wind,avaConv,0.0
d322,AT,wind,avaConv,0.0
d323,AT,wind,avaConv,0.0
d324,AT,wind,avaConv,0.0
d325,AT,wind,avaConv,0.0
d326,AT,wind,avaConv,0.0
d327,AT,wind,avaConv,0.0034152412280701754
d328,AT,wind,avaConv,0.0
d329,AT,wind,avaConv,0.0
d330,AT,wind,avaConv,0.0
d331,AT,wind,avaConv,0.0
d332,AT,wind,avaConv,0.0704593567251462
d333,AT,wind,avaConv,0.2481346125730994
d334,AT,wind,avaConv,0.3683107090643275
d335,AT,wind,avaConv,0.23769963450292397
d336,AT,wind,avaConv,0.12333318713450292
d337,AT,wind,avaConv,0.2864137792397661
d338,AT,wind,avaConv,0.07382130847953217
d339,AT,wind,avaConv,0.13216520467836257
d340,AT,wind,avaConv,0.13448326023391813
d341,AT,wind,avaConv,0.02664590643274854
d342,AT,wind,avaConv,0.12891502192982457
d343,AT,wind,avaConv,0.03846611842105263
d344,AT,wind,avaConv,0.15834890350877193
d345,AT,wind,avaConv,0.4997256213450293
d346,AT,wind,avaConv,0.0807313230994152
d347,AT,wind,avaConv,0.0050521929824561395
