timestep_4,region_1,scenario_1,technology_1,parameter,value
h0331,FR,scr3,wind,avaConv,0.520317398179631
h0332,FR,scr3,wind,avaConv,0.501337745124255
h0333,FR,scr3,wind,avaConv,0.478844929528905
h0334,FR,scr3,wind,avaConv,0.452306776404321
h0335,FR,scr3,wind,avaConv,0.434908880142825
h0336,FR,scr3,wind,avaConv,0.419938170648914
h0337,FR,scr3,wind,avaConv,0.396187060538013
h0338,FR,scr3,wind,avaConv,0.374101479989875
h0339,FR,scr3,wind,avaConv,0.368766613123984
h0340,FR,scr3,wind,avaConv,0.338547041192924
h0341,FR,scr3,wind,avaConv,0.311195853695369
h0342,FR,scr3,wind,avaConv,0.274626928506788
h0343,FR,scr3,wind,avaConv,0.251122662799057
h0344,FR,scr3,wind,avaConv,0.231572172490236
h0345,FR,scr3,wind,avaConv,0.22924197230882
h0346,FR,scr3,wind,avaConv,0.241275607782763
h0347,FR,scr3,wind,avaConv,0.215451062138384
h0348,FR,scr3,wind,avaConv,0.19821715044789
h0349,FR,scr3,wind,avaConv,0.172228911998865
h0350,FR,scr3,wind,avaConv,0.147239872361998
h0351,FR,scr3,wind,avaConv,0.113325627444071
h0352,FR,scr3,wind,avaConv,0.0578592201739254
h0353,FR,scr3,wind,avaConv,0.0532171721447312
h0354,FR,scr3,wind,avaConv,0.0818882723285361
h0355,FR,scr3,wind,avaConv,0.114909697838041
h0356,FR,scr3,wind,avaConv,0.135960774151282
h0357,FR,scr3,wind,avaConv,0.142712008334187
h0358,FR,scr3,wind,avaConv,0.138593582876479
h0359,FR,scr3,wind,avaConv,0.127361579586552
h0360,FR,scr3,wind,avaConv,0.108017113552774
h0361,FR,scr3,wind,avaConv,0.0874380600564918
h0362,FR,scr3,wind,avaConv,0.0713627300626485
h0363,FR,scr3,wind,avaConv,0.0618535501368192
h0364,FR,scr3,wind,avaConv,0.0661926049662627
h0365,FR,scr3,wind,avaConv,0.0744440135286311
h0366,FR,scr3,wind,avaConv,0.0879492303740957
h0367,FR,scr3,wind,avaConv,0.0907135242838099
h0368,FR,scr3,wind,avaConv,0.099069628148466
h0369,FR,scr3,wind,avaConv,0.113942338385604
h0370,FR,scr3,wind,avaConv,0.130093274798825
h0371,FR,scr3,wind,avaConv,0.134877202389929
h0372,FR,scr3,wind,avaConv,0.121556839428011
h0373,FR,scr3,wind,avaConv,0.109631193544429
h0374,FR,scr3,wind,avaConv,0.0938172013695064
h0375,FR,scr3,wind,avaConv,0.0894953701662503
h0376,FR,scr3,wind,avaConv,0.0492564418537636
h0377,FR,scr3,wind,avaConv,0.0346311641046265
h0378,FR,scr3,wind,avaConv,0.0624116289876843
h0379,FR,scr3,wind,avaConv,0.0868628539388306
h0380,FR,scr3,wind,avaConv,0.104369197659424
h0381,FR,scr3,wind,avaConv,0.110628417779193
h0382,FR,scr3,wind,avaConv,0.116255721883738
h0383,FR,scr3,wind,avaConv,0.118244327247571
h0384,FR,scr3,wind,avaConv,0.128266812126859
h0385,FR,scr3,wind,avaConv,0.126847679407971
h0386,FR,scr3,wind,avaConv,0.127055496747056
h0387,FR,scr3,wind,avaConv,0.125957655945503
h0388,FR,scr3,wind,avaConv,0.116458577495925
h0389,FR,scr3,wind,avaConv,0.125424791936544
h0390,FR,scr3,wind,avaConv,0.131846180582267
h0391,FR,scr3,wind,avaConv,0.151360187650167
h0392,FR,scr3,wind,avaConv,0.167213992055128
h0393,FR,scr3,wind,avaConv,0.189436329571774
h0394,FR,scr3,wind,avaConv,0.229680363020439
h0395,FR,scr3,wind,avaConv,0.273662819480441
h0396,FR,scr3,wind,avaConv,0.28078050047078
h0397,FR,scr3,wind,avaConv,0.27054812975625
h0398,FR,scr3,wind,avaConv,0.260804930965685
h0399,FR,scr3,wind,avaConv,0.251943514758086
h0400,FR,scr3,wind,avaConv,0.204873908057981
h0401,FR,scr3,wind,avaConv,0.125486865182484
h0402,FR,scr3,wind,avaConv,0.166731145688733
h0403,FR,scr3,wind,avaConv,0.211426146226822
h0404,FR,scr3,wind,avaConv,0.232487707389349
h0405,FR,scr3,wind,avaConv,0.236642553452948
h0406,FR,scr3,wind,avaConv,0.242804501489011
h0407,FR,scr3,wind,avaConv,0.187662286871403
h0408,FR,scr3,wind,avaConv,0.179045851896857
h0409,FR,scr3,wind,avaConv,0.170446614761571
h0410,FR,scr3,wind,avaConv,0.173231277709654
h0411,FR,scr3,wind,avaConv,0.188088455909067
h0412,FR,scr3,wind,avaConv,0.200228894519318
h0413,FR,scr3,wind,avaConv,0.206866877815788
h0414,FR,scr3,wind,avaConv,0.208832590993459
h0415,FR,scr3,wind,avaConv,0.212413695313159
h0416,FR,scr3,wind,avaConv,0.210801719998044
h0417,FR,scr3,wind,avaConv,0.229075385097649
h0418,FR,scr3,wind,avaConv,0.261695986454572
h0419,FR,scr3,wind,avaConv,0.277927530441959
h0420,FR,scr3,wind,avaConv,0.27815527879285
h0421,FR,scr3,wind,avaConv,0.265658530089948
h0422,FR,scr3,wind,avaConv,0.249416957596622
h0423,FR,scr3,wind,avaConv,0.213355232221268
