timestep_4,region_1,scenario_1,technology_1,parameter,value
h2620,CH,scr4,solar,avaConv,0.0
h2621,CH,scr4,solar,avaConv,0.00318098462278149
h2622,CH,scr4,solar,avaConv,0.0913722368536622
h2623,CH,scr4,solar,avaConv,0.249370559564591
h2624,CH,scr4,solar,avaConv,0.415763967381602
h2625,CH,scr4,solar,avaConv,0.56189902882354
h2626,CH,scr4,solar,avaConv,0.683670213529778
h2627,CH,scr4,solar,avaConv,0.761899481303749
h2628,CH,scr4,solar,avaConv,0.776812741019676
h2629,CH,scr4,solar,avaConv,0.695607583408063
h2630,CH,scr4,solar,avaConv,0.557540573951865
h2631,CH,scr4,solar,avaConv,0.441490621294512
h2632,CH,scr4,solar,avaConv,0.33877097651631
h2633,CH,scr4,solar,avaConv,0.213225637962243
h2634,CH,scr4,solar,avaConv,0.0745039612502087
h2635,CH,scr4,solar,avaConv,0.00177076216601621
h2636,CH,scr4,solar,avaConv,0.0
h2637,CH,scr4,solar,avaConv,0.0
h2638,CH,scr4,solar,avaConv,0.0
h2639,CH,scr4,solar,avaConv,0.0
h2640,CH,scr4,solar,avaConv,0.0
h2641,CH,scr4,solar,avaConv,0.0
h2642,CH,scr4,solar,avaConv,0.0
h2643,CH,scr4,solar,avaConv,0.0
h2644,CH,scr4,solar,avaConv,0.0
h2645,CH,scr4,solar,avaConv,0.00390742582720336
h2646,CH,scr4,solar,avaConv,0.100775782260497
h2647,CH,scr4,solar,avaConv,0.273845988572526
h2648,CH,scr4,solar,avaConv,0.45411380459385
h2649,CH,scr4,solar,avaConv,0.614325105199771
h2650,CH,scr4,solar,avaConv,0.727421311398144
h2651,CH,scr4,solar,avaConv,0.796168036473011
h2652,CH,scr4,solar,avaConv,0.814751432770693
h2653,CH,scr4,solar,avaConv,0.780659434103157
h2654,CH,scr4,solar,avaConv,0.701547755403594
h2655,CH,scr4,solar,avaConv,0.57638136629587
h2656,CH,scr4,solar,avaConv,0.415752232171729
h2657,CH,scr4,solar,avaConv,0.243317915788719
h2658,CH,scr4,solar,avaConv,0.0812323378846446
h2659,CH,scr4,solar,avaConv,0.00216343230556128
h2660,CH,scr4,solar,avaConv,0.0
h2661,CH,scr4,solar,avaConv,0.0
h2662,CH,scr4,solar,avaConv,0.0
h2663,CH,scr4,solar,avaConv,0.0
h2664,CH,scr4,solar,avaConv,0.0
h2665,CH,scr4,solar,avaConv,0.0
h2666,CH,scr4,solar,avaConv,0.0
h2667,CH,scr4,solar,avaConv,0.0
h2668,CH,scr4,solar,avaConv,0.0
h2669,CH,scr4,solar,avaConv,0.00351488612733831
h2670,CH,scr4,solar,avaConv,0.08191263338844
h2671,CH,scr4,solar,avaConv,0.232338420181443
h2672,CH,scr4,solar,avaConv,0.400484412367286
h2673,CH,scr4,solar,avaConv,0.562425781436573
h2674,CH,scr4,solar,avaConv,0.679810681139451
h2675,CH,scr4,solar,avaConv,0.751710081322978
h2676,CH,scr4,solar,avaConv,0.758763084839959
h2677,CH,scr4,solar,avaConv,0.72462598417793
h2678,CH,scr4,solar,avaConv,0.652075660451696
h2679,CH,scr4,solar,avaConv,0.537481281732796
h2680,CH,scr4,solar,avaConv,0.386431567561801
h2681,CH,scr4,solar,avaConv,0.220626227654368
h2682,CH,scr4,solar,avaConv,0.0759981322821258
h2683,CH,scr4,solar,avaConv,0.00243021370749432
h2684,CH,scr4,solar,avaConv,0.0
h2685,CH,scr4,solar,avaConv,0.0
h2686,CH,scr4,solar,avaConv,0.0
h2687,CH,scr4,solar,avaConv,0.0
h2688,CH,scr4,solar,avaConv,0.0
h2689,CH,scr4,solar,avaConv,0.0
h2690,CH,scr4,solar,avaConv,0.0
h2691,CH,scr4,solar,avaConv,0.0
h2692,CH,scr4,solar,avaConv,0.0
h2693,CH,scr4,solar,avaConv,0.00595349156930373
h2694,CH,scr4,solar,avaConv,0.116698023781937
h2695,CH,scr4,solar,avaConv,0.301860634365555
h2696,CH,scr4,solar,avaConv,0.490716355256294
h2697,CH,scr4,solar,avaConv,0.6563993254282
h2698,CH,scr4,solar,avaConv,0.783068366718973
h2699,CH,scr4,solar,avaConv,0.861043760513029
h2700,CH,scr4,solar,avaConv,0.884396473637126
h2701,CH,scr4,solar,avaConv,0.852732566891238
h2702,CH,scr4,solar,avaConv,0.765884697590606
h2703,CH,scr4,solar,avaConv,0.62451873669379
h2704,CH,scr4,solar,avaConv,0.425260573663863
h2705,CH,scr4,solar,avaConv,0.196587803577814
h2706,CH,scr4,solar,avaConv,0.0552079847763693
h2707,CH,scr4,solar,avaConv,0.00291632957089088
h2708,CH,scr4,solar,avaConv,0.0
h2709,CH,scr4,solar,avaConv,0.0
h2710,CH,scr4,solar,avaConv,0.0
h2711,CH,scr4,solar,avaConv,0.0
h2712,CH,scr4,solar,avaConv,0.0
h2713,CH,scr4,solar,avaConv,0.0
h2714,CH,scr4,solar,avaConv,0.0
h2715,CH,scr4,solar,avaConv,0.0
h2716,CH,scr4,solar,avaConv,0.0
h2717,CH,scr4,solar,avaConv,0.00173841545571506
h2718,CH,scr4,solar,avaConv,0.0330611876309389
h2719,CH,scr4,solar,avaConv,0.115023101613589
h2720,CH,scr4,solar,avaConv,0.229589425393526
h2721,CH,scr4,solar,avaConv,0.334889124954629
h2722,CH,scr4,solar,avaConv,0.409705071064021
h2723,CH,scr4,solar,avaConv,0.440097425995345
h2724,CH,scr4,solar,avaConv,0.475265809415353
h2725,CH,scr4,solar,avaConv,0.494954860068893
h2726,CH,scr4,solar,avaConv,0.494058066542136
h2727,CH,scr4,solar,avaConv,0.445182324179676
h2728,CH,scr4,solar,avaConv,0.356193392515361
h2729,CH,scr4,solar,avaConv,0.209196674010213
h2730,CH,scr4,solar,avaConv,0.0692437419732132
h2731,CH,scr4,solar,avaConv,0.00312141020138725
h2732,CH,scr4,solar,avaConv,0.0
h2733,CH,scr4,solar,avaConv,0.0
h2734,CH,scr4,solar,avaConv,0.0
h2735,CH,scr4,solar,avaConv,0.0
h2736,CH,scr4,solar,avaConv,0.0
h2737,CH,scr4,solar,avaConv,0.0
h2738,CH,scr4,solar,avaConv,0.0
h2739,CH,scr4,solar,avaConv,0.0
h2740,CH,scr4,solar,avaConv,0.0
h2741,CH,scr4,solar,avaConv,0.00372410476104737
h2742,CH,scr4,solar,avaConv,0.0636454817996949
h2743,CH,scr4,solar,avaConv,0.19420840140078
h2744,CH,scr4,solar,avaConv,0.365278120890792
h2745,CH,scr4,solar,avaConv,0.49876876377792
h2746,CH,scr4,solar,avaConv,0.630949766509861
h2747,CH,scr4,solar,avaConv,0.688487633843855
