timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2547,CH,scr1,electricity,dem,6.80656777184777
h2548,CH,scr1,electricity,dem,6.73415018943019
h2549,CH,scr1,electricity,dem,6.79612271690271
h2550,CH,scr1,electricity,dem,6.97939194767194
h2551,CH,scr1,electricity,dem,7.33457876085875
h2552,CH,scr1,electricity,dem,7.64119963997964
h2553,CH,scr1,electricity,dem,7.80668315646315
h2554,CH,scr1,electricity,dem,7.91825458503458
h2555,CH,scr1,electricity,dem,8.0398315081115
h2556,CH,scr1,electricity,dem,7.8671337059137
h2557,CH,scr1,electricity,dem,7.79899084877084
h2558,CH,scr1,electricity,dem,7.73521612349612
h2559,CH,scr1,electricity,dem,7.63222161800161
h2560,CH,scr1,electricity,dem,7.54509524437524
h2561,CH,scr1,electricity,dem,7.45086996964997
h2562,CH,scr1,electricity,dem,7.37517766195766
h2563,CH,scr1,electricity,dem,7.36856227734227
h2564,CH,scr1,electricity,dem,7.37548535426535
h2565,CH,scr1,electricity,dem,7.22679854107853
h2566,CH,scr1,electricity,dem,7.04257876085875
h2567,CH,scr1,electricity,dem,6.7991337059137
h2568,CH,scr1,electricity,dem,6.71891942019942
h2569,CH,scr1,electricity,dem,6.34115675538964
h2570,CH,scr1,electricity,dem,6.382294118027
h2571,CH,scr1,electricity,dem,6.42452488725777
h2572,CH,scr1,electricity,dem,6.35210730484018
h2573,CH,scr1,electricity,dem,6.41407983231271
h2574,CH,scr1,electricity,dem,6.59734906308194
h2575,CH,scr1,electricity,dem,6.95253587626875
h2576,CH,scr1,electricity,dem,7.25915675538964
h2577,CH,scr1,electricity,dem,7.42464027187315
h2578,CH,scr1,electricity,dem,7.53621170044458
h2579,CH,scr1,electricity,dem,7.6577886235215
h2580,CH,scr1,electricity,dem,7.4850908213237
h2581,CH,scr1,electricity,dem,7.41694796418084
h2582,CH,scr1,electricity,dem,7.35317323890612
h2583,CH,scr1,electricity,dem,7.25017873341161
h2584,CH,scr1,electricity,dem,7.16305235978523
h2585,CH,scr1,electricity,dem,7.06882708505997
h2586,CH,scr1,electricity,dem,6.99313477736766
h2587,CH,scr1,electricity,dem,6.98651939275227
h2588,CH,scr1,electricity,dem,6.99344246967535
h2589,CH,scr1,electricity,dem,6.84475565648853
h2590,CH,scr1,electricity,dem,6.66053587626875
h2591,CH,scr1,electricity,dem,6.4170908213237
h2592,CH,scr1,electricity,dem,6.33687653560942
h2593,CH,scr1,electricity,dem,6.16825788017964
h2594,CH,scr1,electricity,dem,6.209395242817
h2595,CH,scr1,electricity,dem,6.25162601204777
h2596,CH,scr1,electricity,dem,6.17920842963019
h2597,CH,scr1,electricity,dem,6.24118095710271
h2598,CH,scr1,electricity,dem,6.42445018787194
h2599,CH,scr1,electricity,dem,6.77963700105875
h2600,CH,scr1,electricity,dem,7.08625788017964
h2601,CH,scr1,electricity,dem,7.25174139666315
h2602,CH,scr1,electricity,dem,7.36331282523458
h2603,CH,scr1,electricity,dem,7.4848897483115
h2604,CH,scr1,electricity,dem,7.3121919461137
h2605,CH,scr1,electricity,dem,7.24404908897084
h2606,CH,scr1,electricity,dem,7.18027436369612
h2607,CH,scr1,electricity,dem,7.07727985820161
h2608,CH,scr1,electricity,dem,6.99015348457523
h2609,CH,scr1,electricity,dem,6.89592820984997
h2610,CH,scr1,electricity,dem,6.82023590215766
h2611,CH,scr1,electricity,dem,6.81362051754227
h2612,CH,scr1,electricity,dem,6.82054359446535
h2613,CH,scr1,electricity,dem,6.67185678127853
h2614,CH,scr1,electricity,dem,6.48763700105875
h2615,CH,scr1,electricity,dem,6.2441919461137
h2616,CH,scr1,electricity,dem,6.16397766039942
h2617,CH,scr1,electricity,dem,6.56176418003964
h2618,CH,scr1,electricity,dem,6.602901542677
h2619,CH,scr1,electricity,dem,6.64513231190777
h2620,CH,scr1,electricity,dem,6.57271472949019
h2621,CH,scr1,electricity,dem,6.63468725696271
h2622,CH,scr1,electricity,dem,6.81795648773194
h2623,CH,scr1,electricity,dem,7.17314330091875
h2624,CH,scr1,electricity,dem,7.47976418003964
h2625,CH,scr1,electricity,dem,7.64524769652315
h2626,CH,scr1,electricity,dem,7.75681912509458
h2627,CH,scr1,electricity,dem,7.8783960481715
h2628,CH,scr1,electricity,dem,7.7056982459737
h2629,CH,scr1,electricity,dem,7.63755538883084
h2630,CH,scr1,electricity,dem,7.57378066355612
h2631,CH,scr1,electricity,dem,7.47078615806161
h2632,CH,scr1,electricity,dem,7.38365978443524
h2633,CH,scr1,electricity,dem,7.28943450970997
h2634,CH,scr1,electricity,dem,7.21374220201766
h2635,CH,scr1,electricity,dem,7.20712681740227
h2636,CH,scr1,electricity,dem,7.21404989432535
h2637,CH,scr1,electricity,dem,7.06536308113853
h2638,CH,scr1,electricity,dem,6.88114330091876
h2639,CH,scr1,electricity,dem,6.6376982459737
h2640,CH,scr1,electricity,dem,6.55748396025942
h2641,CH,scr1,electricity,dem,6.46507309778964
h2642,CH,scr1,electricity,dem,6.506210460427
h2643,CH,scr1,electricity,dem,6.54844122965777
h2644,CH,scr1,electricity,dem,6.47602364724019
h2645,CH,scr1,electricity,dem,6.53799617471271
h2646,CH,scr1,electricity,dem,6.72126540548194
h2647,CH,scr1,electricity,dem,7.07645221866875
h2648,CH,scr1,electricity,dem,7.38307309778964
h2649,CH,scr1,electricity,dem,7.54855661427315
h2650,CH,scr1,electricity,dem,7.66012804284458
h2651,CH,scr1,electricity,dem,7.7817049659215
h2652,CH,scr1,electricity,dem,7.6090071637237
h2653,CH,scr1,electricity,dem,7.54086430658084
h2654,CH,scr1,electricity,dem,7.47708958130612
h2655,CH,scr1,electricity,dem,7.37409507581161
h2656,CH,scr1,electricity,dem,7.28696870218523
h2657,CH,scr1,electricity,dem,7.19274342745997
h2658,CH,scr1,electricity,dem,7.11705111976766
h2659,CH,scr1,electricity,dem,7.11043573515227
h2660,CH,scr1,electricity,dem,7.11735881207535
h2661,CH,scr1,electricity,dem,6.96867199888853
h2662,CH,scr1,electricity,dem,6.78445221866875
h2663,CH,scr1,electricity,dem,6.5410071637237
h2664,CH,scr1,electricity,dem,6.46079287800942
h2665,CH,scr1,electricity,dem,6.26339307596964
h2666,CH,scr1,electricity,dem,6.304530438607
h2667,CH,scr1,electricity,dem,6.34676120783777
h2668,CH,scr1,electricity,dem,6.27434362542019
h2669,CH,scr1,electricity,dem,6.33631615289271
h2670,CH,scr1,electricity,dem,6.51958538366194
h2671,CH,scr1,electricity,dem,6.87477219684875
h2672,CH,scr1,electricity,dem,7.18139307596964
h2673,CH,scr1,electricity,dem,7.34687659245315
h2674,CH,scr1,electricity,dem,7.45844802102458
h2675,CH,scr1,electricity,dem,7.5800249441015
h2676,CH,scr1,electricity,dem,7.4073271419037
h2677,CH,scr1,electricity,dem,7.33918428476084
h2678,CH,scr1,electricity,dem,7.27540955948612
h2679,CH,scr1,electricity,dem,7.17241505399161
h2680,CH,scr1,electricity,dem,7.08528868036524
h2681,CH,scr1,electricity,dem,6.99106340563997
h2682,CH,scr1,electricity,dem,6.91537109794766
h2683,CH,scr1,electricity,dem,6.90875571333227
h2684,CH,scr1,electricity,dem,6.91567879025535
h2685,CH,scr1,electricity,dem,6.76699197706853
