timestep_2,carrier_1,region_4,parameter,value,comment,source
2035,spaceHeat,46SK,capaDem,7.452,,
2035,spaceHeat,47CH,capaDem,17.309,,
2035,spaceHeat,48CH,capaDem,2.149,,
2035,spaceHeat,49AT,capaDem,4.741,,
2035,spaceHeat,50AT,capaDem,6.634,,
2035,spaceHeat,51AT,capaDem,8.767,,
2035,spaceHeat,52IT,capaDem,75.058,,
2035,spaceHeat,53IT,capaDem,14.202,,
2035,spaceHeat,54IT,capaDem,27.349,,
2035,spaceHeat,55IT,capaDem,14.469,,
2035,spaceHeat,56IT,capaDem,8.893,,
2035,spaceHeat,57SI,capaDem,3.49,,
2035,spaceHeat,58HU,capaDem,20.7,,
2035,spaceHeat,59RO,capaDem,4.379,,
2035,spaceHeat,60RO,capaDem,6.173,,
2035,spaceHeat,61RO,capaDem,5.007,,
2035,spaceHeat,62HR,capaDem,6.317,,
2035,spaceHeat,63BA,capaDem,3.042,,
2035,spaceHeat,64ME,capaDem,0.562,,
2035,spaceHeat,65RS,capaDem,5.602,,
2035,spaceHeat,66BG,capaDem,7.355,,
2035,spaceHeat,67MK,capaDem,2.04,,
2035,spaceHeat,68GR,capaDem,4.362,,
2035,spaceHeat,69GR,capaDem,6.274,,
2035,spaceHeat,70AL,capaDem,2.602,,
2035,spaceHeat,72DK,capaDem,7.247,,
2035,spaceHeat,73EE,capaDem,2.863,,
2035,spaceHeat,74FI,capaDem,2.283,,
2035,spaceHeat,75FI,capaDem,14.091,,
2035,spaceHeat,77LT,capaDem,4.314,,
2035,spaceHeat,78LV,capaDem,4.09,,
2035,spaceHeat,79NO,capaDem,1.071,,
2035,spaceHeat,80NO,capaDem,2.486,,
2035,spaceHeat,81NO,capaDem,3.866,,
2035,spaceHeat,82NO,capaDem,6.617,,
2035,spaceHeat,83NO,capaDem,2.053,,
2035,spaceHeat,84NO,capaDem,1.958,,
2035,spaceHeat,85NO,capaDem,0.273,,
2035,spaceHeat,86SE,capaDem,1.184,,
2035,spaceHeat,87SE,capaDem,3.743,,
2035,spaceHeat,88SE,capaDem,25.18,,
2035,spaceHeat,89SE,capaDem,6.793,,
2035,spaceHeat,90UK,capaDem,43.408,,
2035,spaceHeat,91UK,capaDem,9.704,,
2035,spaceHeat,92UK,capaDem,44.605,,
2035,spaceHeat,93UK,capaDem,12.54,,
2035,spaceHeat,94UK,capaDem,7.292,,
2035,spaceHeat,95UK,capaDem,3.731,,
2035,spaceHeat,96IE,capaDem,6.868,,
2035,spaceHeat,98IT,capaDem,3.375,,
2035,spaceHeat,99FR,capaDem,0.579,,
2040,spaceHeat,01ES,capaDem,2.523,,
2040,spaceHeat,02ES,capaDem,2.557,,
2040,spaceHeat,03ES,capaDem,1.704,,
2040,spaceHeat,04ES,capaDem,2.798,,
2040,spaceHeat,05ES,capaDem,1.198,,
2040,spaceHeat,06ES,capaDem,6.289,,
2040,spaceHeat,07ES,capaDem,5.931,,
2040,spaceHeat,08ES,capaDem,2.138,,
2040,spaceHeat,09ES,capaDem,3.796,,
2040,spaceHeat,10ES,capaDem,2.324,,
2040,spaceHeat,11ES,capaDem,6.151,,
